league,season,homeTeam,awayTeam,date,team,min,sec,x,y,goalYN,headerYN,bigChanceYN,fromCornerYN,fastBreakYN,penaltyYN,directFKYN,ownGoalYN,chanceX1,chanceY1,chanceX2,chanceY2,crossYN,throughballYN,indirectFKYN,secondThroughballYN,dribbleKeeperYN,dribbleBeforeYN,reboundYN,errorYN,onTarget,sixYard,penaltyArea,outBox,Premier League,La Liga,Ligue 1,Bundesliga,Serie A,state_-1,state_0,state_1,distance,angle,xg
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,0,33,23.5,31.0,0,0,0,0,0,0,0,0,75.4,27.7,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30.220026472523152,16.91814186360252,0.018969598045765694
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,1,56,9.400000000000006,43.5,0,0,0,0,1,0,0,0,52.6,34.5,71.3,18.9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,11.428473213863702,47.52152871350676,0.17866163572400698
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,2,0,9.599999999999994,44.3,0,0,0,0,1,0,0,0,93.0,43.3,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11.164676439557034,49.8990924537878,0.18311404803940234
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,4,18,7.200000000000003,54.5,0,1,0,1,0,0,0,0,99.5,99.5,92.6,55.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8.490583018850945,64.24472923983292,0.08084942220206606
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,5,16,29.299999999999997,60.6,0,0,0,0,0,0,0,0,71.3,67.3,67.6,50.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31.15846594426625,19.593769910364706,0.01817234076266101
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,6,54,22.299999999999997,70.3,0,0,0,0,0,0,0,0,45.6,69.0,58.7,69.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30.155928107090315,16.167451740998736,0.019399711722679285
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,19,13,20.099999999999994,55.7,0,0,0,0,0,0,0,0,83.1,68.6,80.3,59.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20.892582415776175,29.560354464680756,0.04953577339277497
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,19,33,27.900000000000006,59.2,0,0,0,0,0,0,0,0,64.4,94.2,69.2,81.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,29.37771264070776,20.95416389720501,0.021690393004629105
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,20,41,8.799999999999997,45.8,0,1,0,0,0,0,0,0,88.9,59.7,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9.750897394599123,58.03981609583333,0.0543504043911824
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,21,0,10.700000000000003,64.1,1,0,1,0,0,0,0,0,80.0,69.6,,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,17.70028248362155,23.47946317842088,0.49230484092031235
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,24,50,13.799999999999997,29.1,0,0,0,0,0,0,0,0,72.4,48.1,85.0,23.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25.044959572736385,14.815994055742738,0.035781982906050495
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,26,28,23.599999999999994,34.2,0,0,0,0,0,0,0,0,71.7,49.3,69.6,38.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,28.4007042166211,19.16476794982011,0.021014258485573402
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,40,24,22.900000000000006,58.1,0,0,0,0,0,0,0,0,86.2,63.4,80.0,62.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24.290327292978173,25.091054760736068,0.04170010383451543
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,44,7,29.099999999999994,65.2,0,0,0,0,0,0,0,0,65.9,44.9,69.4,64.9,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,32.83062594590606,17.606586849001072,0.012085136855432305
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,45,14,9.5,48.7,0,1,0,0,0,0,0,0,81.9,25.6,90.1,51.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.588534820294496,61.23593767554808,0.05336630919113592
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,47,11,10.299999999999997,71.7,0,0,0,0,0,0,0,0,69.1,78.2,72.5,74.4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,24.020407989873945,12.169545760565674,0.03987031469811738
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,47,46,23.799999999999997,45.2,0,0,0,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24.279209212822394,25.971558771360588,0.03373293241435185
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,49,57,24.200000000000003,62.7,0,0,0,0,0,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27.330020124398008,21.113997594955777,0.06567047762130288
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,50,1,23.700000000000003,62.6,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26.8411996751263,21.44124267867426,0.032301487914722496
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,52,1,8.299999999999997,25.9,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,25.48921340488953,8.715745790169473,0.02566736493317185
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,52,38,7.599999999999994,44.2,0,1,0,0,0,0,0,0,95.0,0.0,92.4,44.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,9.560334722173689,55.78664941353863,0.05572438383794115
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,54,15,26.599999999999994,56.3,0,0,0,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27.335873865673285,22.98929320926102,0.02516238721406273
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,55,32,25.099999999999994,65.8,0,0,0,0,0,0,0,0,64.7,35.8,69.5,68.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,29.65889411289638,18.663107863808733,0.018950561038201922
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,64,1,3.700000000000003,60.5,0,1,0,1,0,0,0,0,99.6,99.3,96.3,60.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11.132834320154057,24.7608357966196,0.06878999726161314
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,70,19,24.400000000000006,58.3,0,0,0,0,0,0,0,0,74.6,24.4,74.1,50.6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,25.77304793771975,23.763595256405367,0.0282008834895266
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,71,21,97.9,50.0,1,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,97.9,6.664303635045222,0.0
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,77,17,22.900000000000006,60.6,0,0,0,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25.234302050978155,23.365226615965113,0.026154012805180926
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Zenit,79,19,3.799999999999997,49.8,1,0,1,0,0,0,0,0,51.6,59.6,79.9,31.2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3.805259518088087,112.57477162221464,0.5331052559952416
UEFA Champions League,2019/2020,Zenit,Benfica,2019-10-02,Benfica,86,8,26.200000000000003,67.9,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,31.73089976663127,17.042380225668285,0.015365799513710646
